Model,Train Accuracy,Train F1,Test Accuracy,Test F1-Score,Test Precision,Test Recall
Logistic Regression,1.0,1.0,0.9230769230769231,0.9285714285714286,0.896551724137931,0.9629629629629629
Random Forest,0.9807692307692307,0.9811320754716981,0.9230769230769231,0.9285714285714286,0.896551724137931,0.9629629629629629
MLP / Neural Network,1.0,1.0,0.8846153846153846,0.8928571428571429,0.8620689655172413,0.9259259259259259
